onset	duration	trial_type	choice_RT	partner_RT	points	trialn
4.827168534568045	0.5397967695389525	partner-social_choice-choice_pentagon	0.5397967695389525			1
8.786737469788934	1.5	partner-social_feedback-informative			60.0	2
0.0	0.0	partner-social_feedback-partner		0.0		3
0.0	1.5	partner-social_feedback-affective				4
		partner-social_choice-choice_pentagon_catch	0.0			5
0.0	1.5	partner-social_feedback-informative_catch			77.0	6
25.547914066431986	1.5695086287159938	partner-social_feedback-partner_catch		1.5695086287159938		7
30.55739795964837	1.5	partner-social_feedback-affective_catch				8
43.04791680913331	0.9651128475052246	partner-social_choice-choice_pentagon	0.9651128475052246			9
47.051329825844725	1.5	partner-social_feedback-informative			58.0	10
53.533002185748046	1.3338678552208876	partner-social_feedback-partner		1.3338678552208876		11
61.548919723343715	1.5	partner-social_feedback-affective				12
65.55636195018451	1.1231787096221524	partner-non_social_choice-choice_pentagon	1.1231787096221524			13
70.53109765440605	1.5	partner-non_social_feedback-informative			73.0	14
74.03739215243695	1.2950703429596615	partner-non_social_feedback-partner		1.2950703429596615		15
79.047725185781	1.5	partner-non_social_feedback-affective				16
83.05484121408517	1.0113873274785874	partner-non_social_choice-choice_pentagon	1.0113873274785874			17
87.02830137965066	1.5	partner-non_social_feedback-informative			76.0	18
90.53470522001591	1.5724089432515032	partner-non_social_feedback-partner		1.5724089432515032		19
95.54511431759238	1.5	partner-non_social_feedback-affective				20
99.552003615976	0.9978570365456108	partner-social_choice-choice_pentagon	0.9978570365456108			21
106.5312479544009	1.5	partner-social_feedback-informative			58.0	22
110.03724112105556	1.177438105474721	partner-social_feedback-partner		1.177438105474721		23
115.04781478066799	1.5	partner-social_feedback-affective				24
120.5580335348168	1.216501111157413	partner-non_social_choice-choice_pentagon	1.216501111157413			25
125.53265367991844	1.5	partner-non_social_feedback-informative			57.0	26
132.02799200301524	1.2551805044458888	partner-non_social_feedback-partner		1.2551805044458888		27
137.03839086117296	1.5	partner-non_social_feedback-affective				28
141.06262280442024	1.5974655251666263	partner-non_social_choice-choice_pentagon	1.5974655251666263			29
145.035616710873	1.5	partner-non_social_feedback-informative			61.0	30
148.54220632349458	1.798548635943007	partner-non_social_feedback-partner		1.798548635943007		31
154.53710197470718	1.5	partner-non_social_feedback-affective				32
158.56152773546637	0.7732064474694198	partner-social_choice-choice_pentagon	0.7732064474694198			33
165.54019171843177	1.5	partner-social_feedback-informative			82.0	34
169.0298299781571	1.1226711271519891	partner-social_feedback-partner		1.1226711271519891		35
177.0457072894751	1.5	partner-social_feedback-affective				36
		partner-non_social_choice-choice_pentagon_catch	0.0			37
