,Unnamed: 0,Npoints,lapse1,lapse2,deckchoice,RT1,RT2,choice_onset,press1_onset,info_onset,partner_onset,press2_onset,aff_onset,fix1_list,fix2_list,fix3_list,fix4_list,soc_win,block,duration,frequency,stimaff,stiminf,point_total,word,rating,is_catch,partner,highval_count
0,0,87,0,0,1,0.8346493981989624,1.1787579707161058,4.7830070933296165,5.632566123528704,9.016251721952813,13.265801829265001,14.44458612981134,21.015705012285707,1.75,2.75,4.75,1.75,0,2,1750,55,0,1,1226,ashamed,0.0,0,1,34
1,1,81,0,0,1,1.244717486407808,1.4408739894556677,25.282456178203567,26.531945214937426,29.515673379920372,33.76504832072396,35.20594864000941,38.51502208231659,1.75,2.75,1.75,1.75,0,2,1750,55,0,1,1226,jittery,0.0,0,1,35
2,2,78,0,0,1,0.9918542088048524,1.2990527477918477,42.781839072809824,43.77373094789982,47.01508223866495,50.26460455337883,51.56368472807708,55.01448542918206,1.75,1.75,1.75,1.75,1,2,1750,55,0,1,1304,jittery,0.0,0,0,36
3,3,80,0,0,1,0.5580238145998919,1.2698781989374766,59.281309733516544,59.847592338166116,66.51470429589472,70.76406790024384,72.03397206331921,75.5138061561338,4.75,2.75,1.75,1.75,1,2,1750,55,0,1,1384,interested,0.0,0,0,37
4,4,83,0,0,1,0.7400660659322966,0.0,79.7806516706096,80.53021073737818,84.03064170550033,0.0,0.0,0.0,1.75,2.75,2.75,2.5,1,2,1750,55,0,1,1384,strong,4.799999999999991,1,1,38
5,5,81,0,0,1,0.8161980383547416,1.2062858081117156,97.28006162643032,98.1132036418544,101.52997230613846,104.76281942746529,105.96913083402296,109.5129054565282,1.75,1.75,1.75,2.5,1,2,1750,55,0,1,1465,inspired,0.0,0,1,39
6,6,80,0,0,1,0.3684830470633642,1.0953081339794153,114.52950824288246,114.91272100144079,118.77945220057065,125.01225397607868,126.10758807419643,129.76211071620446,1.75,4.75,1.75,1.75,1,2,1750,55,0,1,1545,nervous,0.0,0,0,40
7,7,80,0,0,1,0.5975558603804529,1.044671848035705,134.02890576517257,134.64522821197443,138.27893785465312,142.51164966990837,143.55634821346618,147.26169291299718,1.75,2.75,1.75,1.75,0,2,1750,55,0,1,1545,scared,0.0,0,0,41
8,8,79,0,0,1,0.7824804967267482,0.0,151.52842908553973,152.31094761424356,155.77842753134837,0.0,0.0,0.0,1.75,1.75,1.75,2.5,0,2,1750,55,0,1,1545,irritable,-1.9000000000000008,1,1,42
9,9,54,0,0,22,0.0,1.3265681516568293,0.0,0.0,0.0,166.26096372297982,167.5875578387745,172.0274671325096,1.75,1.75,2.75,2.5,1,2,1750,55,0,1,1599,scared,-4.299999999999994,2,0,42
10,10,74,0,0,1,0.7897504553779982,1.555308185176273,183.52735248804132,184.3171402440121,188.7774061533546,192.02677487739263,193.5821093923992,196.7768623692241,2.75,1.75,1.75,2.5,0,2,1750,55,0,1,1599,jittery,0.0,0,1,43
11,11,74,0,0,1,0.6380555274176913,1.4755335538943657,201.79367140591418,202.4431705357501,209.02688202517362,212.2762061347776,213.75183440292176,220.02613564762802,4.75,1.75,4.75,1.75,0,2,1750,55,0,1,1599,nervous,0.0,0,1,44
12,12,70,0,0,1,0.5764495759985948,1.4613531119116487,224.29275772423992,224.87598869426392,228.5260817080457,234.77555684848042,236.23693592452992,239.52544686658572,1.75,4.75,1.75,3.25,1,2,1750,55,0,1,1669,hostile,0.0,0,1,45
13,13,70,0,0,1,1.0515205294050247,1.63085358749413,245.29212251708802,246.34368107847013,249.52554414068027,252.7748956771907,254.40577559451503,260.5248043455922,1.75,1.75,4.75,3.25,0,2,1750,55,0,1,1669,interested,0.0,0,0,46
14,14,70,0,0,1,0.6915475028531546,0.7513597345955532,266.2916818581257,266.99090450646054,271.52508958541875,275.7741335748856,276.5255196393109,280.52410221678934,2.75,2.75,1.75,3.25,0,2,1750,55,0,1,1669,alert,0.0,0,0,47
15,15,72,0,0,1,0.8976958107414248,1.4926775645349153,286.29095705641294,287.18869126482286,290.5241406144578,293.77376312880324,295.2664677545522,298.52364437029837,1.75,1.75,1.75,1.75,1,2,1750,55,0,1,1741,attentive,0.0,0,1,48
16,16,68,0,0,1,0.8517985285279792,1.4238473659747797,302.7904061412869,303.6422423360996,307.0236445531445,310.2731635766295,311.6970383695106,316.0229073179012,1.75,1.75,2.75,2.5,1,2,1750,55,0,1,1809,inspired,0.0,0,0,49
17,17,57,0,0,2,1.1835463428778894,1.1270545952684188,321.04011459327194,322.23942811609004,328.2894756377764,332.52231690802955,333.64939856451247,337.27225739164305,4.75,2.75,1.75,2.5,0,2,1750,55,0,1,1809,nervous,0.0,0,1,49
18,18,67,0,0,1,0.4221344642483018,0.9379362020899862,342.2890510692655,342.72207182119433,347.5387726861658,350.7720443760031,351.71000617653954,355.52172082993087,2.75,1.75,1.75,3.25,0,2,1750,55,0,1,1809,ashamed,0.0,0,0,50
19,19,54,0,0,22,0.0,2.193271192496013,0.0,0.0,0.0,360.52147142792916,362.7147696816396,365.2714418982932,4.75,1.75,1.75,1.75,0,2,1750,55,0,1,1809,attentive,4.099999999999993,2,0,50
20,20,60,0,0,1,0.9962348342924088,1.327358412252579,379.03805318698824,380.03781621851755,384.2878768319806,387.52067568195207,388.8480604240349,393.27056533436513,2.75,1.75,2.75,1.75,0,2,1750,55,0,1,1809,irritable,0.0,0,1,51
21,21,60,0,0,1,0.7911890880409373,1.5724938847138217,397.5376288013235,398.3288606753386,401.7875643480937,408.0199576455429,409.5925444160466,412.7699624909628,1.75,4.75,1.75,1.75,0,2,1750,55,0,1,1809,upset,0.0,0,0,52
22,22,49,0,0,2,0.7754314160952163,1.6576178598165825,417.03693380351615,417.8124025202037,422.28679657756135,426.5194103873377,428.1770545769841,431.2860534912443,2.75,2.75,1.75,1.75,1,2,1750,55,0,1,1858,jittery,0.0,0,0,52
23,23,51,0,0,1,1.2408459043035691,1.599992101051157,435.553087337144,436.80242278320196,439.78629941917137,443.03554965897416,444.6355684555474,448.7854535733786,1.75,1.75,2.75,1.75,0,2,1750,55,0,1,1858,upset,0.0,0,1,53
24,24,48,0,0,1,1.1718829595165516,1.6360811558502064,453.0523663751983,454.2242873666919,457.2855173866473,460.5350868756405,462.1711943613209,465.28502553079306,1.75,1.75,1.75,2.5,1,2,1750,55,0,1,1906,determined,0.0,0,1,54
25,25,50,0,0,1,0.7061601928808159,1.8121838363367715,470.30183895578836,471.0179346369282,475.53502361090983,481.7844555996785,483.5966657658455,486.53428454720597,2.75,4.75,1.75,1.75,1,2,1750,55,0,1,1956,guilty,0.0,0,1,55
26,26,52,0,0,1,1.4963363138458592,1.7912713687601354,490.8010166971353,492.30092618834396,495.0344251558126,501.283901759016,503.07519909191336,507.0337826348191,1.75,4.75,2.75,1.75,0,2,1750,55,0,1,1956,guilty,0.0,0,1,56
27,27,49,0,0,1,1.437316536851995,1.648614886374162,511.300573661174,512.7499510886837,516.5337524652218,520.7831537358556,522.4317960491362,528.5330368058117,2.75,2.75,4.75,1.75,1,2,1750,55,0,1,2005,upset,0.0,0,1,57
28,28,49,0,0,1,0.9755534841128792,1.3247177497064513,532.7997806578874,533.7753732710538,540.0330545418778,543.2824773883443,544.6072221992649,551.0321893144041,4.75,1.75,4.75,2.5,1,2,1750,55,0,1,2054,nervous,0.0,0,0,58
29,29,49,0,0,1,1.05567332872306,2.167999675265037,556.0492060641991,557.115225553393,561.2824975014091,565.5317854074965,567.6998114125918,571.2816216688652,2.75,2.75,2.75,3.25,0,2,1750,55,0,1,2054,enthusiastic,0.0,0,0,59
30,30,46,0,0,1,0.9374787212918818,1.996997302289401,577.0486670340656,577.9861830559498,582.2982511507416,585.5310745020829,587.5280992312788,591.2809480640443,2.75,1.75,2.75,2.5,1,2,1750,55,0,1,2100,enthusiastic,0.0,0,0,59
31,31,44,0,0,2,1.0398831101820178,1.2210784186449928,596.2978360902252,597.3377565009996,600.5478286849608,604.7804534654997,606.0015582139745,609.5305193814979,1.75,2.75,1.75,1.75,0,2,1750,55,0,1,2100,distressed,0.0,0,0,59
32,32,43,0,0,1,0.7400927614544344,1.413253266270203,613.7971239048898,614.546740019623,619.047504864619,622.2798338002613,623.693114127746,627.0298470565995,2.75,1.75,1.75,3.25,1,2,1750,55,0,1,2143,afraid,0.0,0,0,60
33,33,43,0,0,2,1.1250915601558518,1.4292124345547563,632.7966371687244,633.9295698985684,637.0465445572036,641.2794754220181,642.708714552095,647.02924732158,1.75,2.75,2.75,1.75,1,2,1750,55,0,1,2186,nervous,0.0,0,0,61
34,34,39,0,0,2,0.8091668766351177,0.0,651.2962307019716,652.1122181016854,658.5458565075455,0.0,0.0,0.0,4.75,4.75,2.75,2.5,1,2,1750,55,0,1,2186,irritable,3.0499999999999976,1,1,61
35,35,42,0,0,1,1.0953779811679851,1.1843281925557676,673.7953747996468,674.8907911784831,679.0453509382382,682.2782170755531,683.4625719636315,688.0445676257917,2.75,1.75,2.75,1.75,1,2,1750,55,0,1,2228,inspired,0.0,0,1,61
36,36,44,0,0,1,1.2418822756726513,1.2699103798404394,692.3115630740227,693.561071126745,697.5447535802173,700.7942850372333,702.0642210155197,708.5439135854975,2.75,1.75,4.75,1.75,0,2,1750,55,0,1,2228,determined,0.0,0,1,61
37,37,0,0,1,0,0.3939549635565527,0.0,712.8108315070062,713.2102974502855,720.0440077512097,726.2933559964907,0.0,0.0,4.75,4.75,2.75,3.25,0,2,1750,55,0,1,2228,irritable,0.0,0,0,61
38,38,39,0,0,11,0.0,1.132103705886948,0.0,0.0,0.0,737.0430481751782,738.1751789422798,744.792753518781,4.75,4.75,4.75,3.25,0,2,1750,55,0,1,2228,jittery,2.6999999999999984,2,0,61
39,39,36,0,0,1,0.7602840842391743,1.7804285984375383,763.0592596710018,763.819581421526,767.2923752103187,770.5419984560481,772.3224537500082,778.2918957879951,1.75,1.75,4.75,2.5,1,2,1750,55,0,1,2264,upset,0.0,0,1,61
