,run,choice,star_points,pentagon_points,diff_points,is_social,aff_feedback_curr,aff_feedback_prev
14,17,2,39.0,45.0,-6.0,1,0,1.0
15,19,1,35.0,45.0,-10.0,0,0,0.0
16,20,1,35.0,45.0,-10.0,0,0,0.0
17,21,1,34.0,45.0,-11.0,0,1,0.0
18,22,1,31.0,45.0,-14.0,0,1,1.0
19,23,2,31.0,47.0,-16.0,1,1,1.0
20,24,2,31.0,47.0,-16.0,1,0,1.0
21,25,1,27.0,47.0,-20.0,1,0,0.0
22,26,2,27.0,55.0,-28.0,1,0,0.0
23,27,2,27.0,57.0,-30.0,1,1,0.0
24,28,1,24.0,57.0,-33.0,1,1,1.0
25,29,2,24.0,55.0,-31.0,1,1,1.0
26,30,2,24.0,53.0,-29.0,1,0,1.0
27,31,2,24.0,55.0,-31.0,1,0,0.0
28,32,2,24.0,61.0,-37.0,0,1,0.0
29,33,1,30.0,61.0,-31.0,0,1,1.0
30,34,2,30.0,62.0,-32.0,0,0,1.0
31,36,2,30.0,59.0,-29.0,1,0,0.0
32,37,2,30.0,64.0,-34.0,1,1,0.0
33,38,2,30.0,64.0,-34.0,1,0,1.0
34,0,2,30.0,63.0,-33.0,1,0,0.0
35,1,2,30.0,65.0,-35.0,1,1,0.0
36,2,2,30.0,66.0,-36.0,1,0,1.0
37,3,2,30.0,63.0,-33.0,0,0,0.0
38,5,2,30.0,63.0,-33.0,1,0,0.0
39,6,2,30.0,61.0,-31.0,0,0,0.0
40,7,2,30.0,62.0,-32.0,0,0,0.0
41,8,2,30.0,66.0,-36.0,1,1,0.0
42,9,2,30.0,66.0,-36.0,0,0,1.0
43,10,2,30.0,67.0,-37.0,0,0,0.0
44,11,2,30.0,66.0,-36.0,1,1,0.0
45,12,2,30.0,62.0,-32.0,0,1,1.0
46,13,2,30.0,64.0,-34.0,1,1,1.0
47,14,2,30.0,66.0,-36.0,1,1,1.0
48,15,2,30.0,65.0,-35.0,1,0,1.0
49,16,2,30.0,68.0,-38.0,1,1,0.0
50,17,2,30.0,66.0,-36.0,1,0,1.0
51,18,1,63.0,66.0,-3.0,0,0,0.0
52,19,1,67.0,66.0,1.0,0,0,0.0
53,20,1,63.0,66.0,-3.0,0,0,0.0
54,21,2,63.0,62.0,1.0,1,0,0.0
55,22,2,63.0,60.0,3.0,1,1,0.0
56,24,1,62.0,60.0,2.0,0,1,1.0
57,25,2,62.0,66.0,-4.0,0,0,1.0
58,26,1,62.0,66.0,-4.0,1,1,0.0
59,27,1,63.0,66.0,-3.0,0,1,1.0
60,28,2,63.0,58.0,5.0,0,1,1.0
61,29,1,67.0,58.0,9.0,1,1,1.0
62,31,1,69.0,58.0,11.0,1,1,1.0
63,32,1,72.0,58.0,14.0,0,1,1.0
64,33,1,75.0,58.0,17.0,0,1,1.0
65,34,1,77.0,58.0,19.0,1,0,1.0
66,35,1,77.0,58.0,19.0,0,0,0.0
67,36,1,75.0,58.0,17.0,1,0,0.0
68,37,1,75.0,58.0,17.0,0,1,0.0
69,39,1,68.0,58.0,10.0,1,0,1.0
70,0,1,71.0,58.0,13.0,0,0,0.0
71,1,1,73.0,58.0,15.0,0,1,0.0
72,2,1,76.0,58.0,18.0,1,0,1.0
73,3,1,78.0,58.0,20.0,1,0,0.0
74,4,1,74.0,58.0,16.0,0,1,0.0
75,5,1,71.0,58.0,13.0,0,1,1.0
76,7,1,77.0,58.0,19.0,0,0,1.0
77,8,1,71.0,58.0,13.0,0,1,0.0
78,9,1,71.0,58.0,13.0,1,0,1.0
79,10,1,74.0,58.0,16.0,1,1,0.0
80,11,1,77.0,58.0,19.0,1,1,1.0
81,12,1,79.0,58.0,21.0,0,0,1.0
82,13,1,81.0,58.0,23.0,1,1,0.0
83,14,1,81.0,58.0,23.0,0,0,1.0
84,15,1,80.0,58.0,22.0,0,1,0.0
85,17,1,85.0,58.0,27.0,1,0,1.0
86,18,1,86.0,58.0,28.0,1,0,0.0
87,19,1,88.0,58.0,30.0,1,1,0.0
88,20,1,86.0,58.0,28.0,1,1,1.0
89,21,1,86.0,58.0,28.0,0,0,1.0
90,22,1,87.0,58.0,29.0,1,1,0.0
91,23,1,87.0,58.0,29.0,0,1,1.0
92,24,1,83.0,58.0,25.0,1,0,1.0
93,25,1,84.0,58.0,26.0,1,0,0.0
94,26,1,83.0,58.0,25.0,1,1,0.0
95,28,1,85.0,58.0,27.0,1,1,1.0
96,30,1,78.0,58.0,20.0,1,1,1.0
97,31,1,73.0,58.0,15.0,0,1,1.0
98,32,1,69.0,58.0,11.0,0,0,1.0
99,33,1,72.0,58.0,14.0,0,0,0.0
100,34,1,75.0,58.0,17.0,1,0,0.0
101,35,1,74.0,58.0,16.0,0,1,0.0
102,36,2,74.0,55.0,19.0,1,0,1.0
103,37,1,70.0,55.0,15.0,0,0,0.0
104,38,1,70.0,55.0,15.0,0,0,0.0
105,39,1,69.0,55.0,14.0,1,0,0.0
106,0,1,70.0,55.0,15.0,1,0,0.0
107,1,1,69.0,55.0,14.0,0,1,0.0
108,2,1,73.0,55.0,18.0,1,0,1.0
109,3,1,78.0,55.0,23.0,0,0,0.0
110,4,1,83.0,55.0,28.0,0,1,0.0
111,5,1,85.0,55.0,30.0,1,1,1.0
112,6,1,85.0,55.0,30.0,0,0,1.0
113,7,1,83.0,55.0,28.0,0,0,0.0
114,8,1,83.0,55.0,28.0,0,0,0.0
115,9,1,81.0,55.0,26.0,1,0,0.0
116,10,1,82.0,55.0,27.0,0,0,0.0
117,11,1,83.0,55.0,28.0,1,0,0.0
118,12,1,86.0,55.0,31.0,0,1,0.0
119,13,1,85.0,55.0,30.0,0,0,1.0
120,15,1,77.0,55.0,22.0,1,1,0.0
121,16,1,73.0,55.0,18.0,1,0,1.0
122,17,1,74.0,55.0,19.0,1,0,0.0
123,18,1,78.0,55.0,23.0,0,0,0.0
124,19,1,78.0,55.0,23.0,1,0,0.0
125,20,1,74.0,55.0,19.0,1,1,0.0
126,21,1,71.0,55.0,16.0,0,1,1.0
127,22,1,73.0,55.0,18.0,1,1,1.0
128,23,1,73.0,55.0,18.0,1,1,1.0
129,24,1,70.0,55.0,15.0,0,1,1.0
130,25,1,73.0,55.0,18.0,1,1,1.0
131,27,1,78.0,55.0,23.0,1,0,1.0
132,28,1,74.0,55.0,19.0,0,1,0.0
